date,country_code,country_name,us_bond_survey_pos,us_bond_adj_net_flow,us_bond_adj_val_chg,us_bond_monthly_gap,us_bond_est_pos,us_stk_survey_pos,us_stk_adj_net_flow,us_stk_adj_val_chg,us_stk_monthly_gap,us_stk_est_pos
3/31/2012,79995,IROTotal,ND,-4705,-196,4696,47350,ND,-246,-3,251,18
3/31/2012,99996,Total,ND,-17329,-21557,42171,2023205,ND,3298,-82387,43000,5014079
4/30/2012,10189,Austria,ND,-124,27,190,6155,ND,22,-291,287,6943
4/30/2012,10251,Belgium,ND,8865,12,-8518,4850,ND,80,-1205,743,32619
4/30/2012,10502,Denmark,ND,-568,37,588,6723,ND,-42,1132,-240,39419
4/30/2012,10707,Finland,ND,38,20,-69,3931,ND,-33,-2084,-106,18269
4/30/2012,10804,France,ND,-3519,249,4226,94638,ND,331,-14848,6739,227759
4/30/2012,11002,Germany,ND,-7689,272,5908,79407,ND,20,-8790,8460,209290
4/30/2012,11207,Greece,ND,32,1,55,612,ND,0,-222,127,3126
4/30/2012,11401,Ireland,ND,3237,134,-3630,34910,ND,-218,-2607,3427,134303
4/30/2012,11509,Italy,ND,-2144,-364,2947,21801,ND,162,-4171,1682,45280
4/30/2012,11703,Luxembourg,ND,9749,688,-8597,67406,ND,994,-965,11,33133
4/30/2012,12009,Monaco,ND,56,0,-56,0,ND,-7,0,14,16
4/30/2012,12106,Netherlands,ND,-1926,711,5421,117301,ND,-245,-8115,951,130716
4/30/2012,12203,Norway,ND,-520,197,1960,28580,ND,-267,-773,392,23630
4/30/2012,12319,Portugal,ND,28,35,62,1246,ND,25,-178,-3,3745
4/30/2012,12505,Spain,ND,-892,-121,298,18932,ND,161,-7239,2763,50533
4/30/2012,12602,Sweden,ND,-869,146,489,35993,ND,94,-1648,119,59117
4/30/2012,12688,Switzerland,ND,-387,85,514,5756,ND,-695,-8225,4049,303123
4/30/2012,12807,Turkey,ND,-280,246,575,11784,ND,30,-795,344,20938
4/30/2012,13005,UK,ND,1311,2195,-9731,267805,ND,16211,6978,12561,733224
4/30/2012,13006,Guernsey,ND,-34,7,783,4169,ND,-108,197,955,16647
4/30/2012,13007,Jersey,ND,222,72,-175,5176,ND,-48,378,1628,39429
