date,country_name,country_code,ftot_agcy_survey_pos,ftot_agcy_adj_net_flow,ftot_agcy_adj_val_chg,ftot_agcy_monthly_gap,ftot_agcy_est_pos,ftot_corp_survey_pos,ftot_corp_adj_net_flow,ftot_corp_adj_val_chg,ftot_corp_monthly_gap,ftot_corp_est_pos,ftot_stk_survey_pos,ftot_stk_adj_net_flow,ftot_stk_adj_val_chg,ftot_stk_monthly_gap,ftot_stk_est_pos,ftot_treas_survey_pos,ftot_treas_adj_net_flow,ftot_treas_adj_val_chg,ftot_treas_monthly_gap,ftot_treas_est_pos
8/31/2011,EuroArea,16713,ND,439,783,4768,87835,ND,-5644,-5035,-7343,996155,ND,-15898,-48510,-4763,765957,ND,13512,6182,673,377442
8/31/2011,EurTotal,19992,ND,-910,1192,6643,131022,ND,-5538,-8028,-10298,1594737,ND,-14230,-100933,-4961,1622916,ND,72573,15012,-27854,899949
8/31/2011,Canada,29998,ND,464,40,-262,3912,ND,214,-446,-304,89736,ND,841,-23484,1225,386662,ND,-2125,641,-1645,32096
8/31/2011,Argentina,30104,ND,-6,2,-31,131,ND,-10,-10,-180,1657,ND,-19,-270,-301,3767,ND,-44,22,-17,1213
8/31/2011,Barbados,30155,ND,-57,6,22,614,ND,153,-16,97,3658,ND,61,-63,81,1255,ND,-962,43,-21,1490
8/31/2011,Brazil,30309,ND,241,19,-30,2083,ND,38,-5,-88,932,ND,182,-125,-39,2153,ND,-700,3774,1031,222678
8/31/2011,Chile,30406,ND,-35,1,51,186,ND,102,-7,-9,1519,ND,-181,-1010,-810,14630,ND,1430,272,-563,16318
8/31/2011,Colombia,30503,ND,82,22,-28,2186,ND,-135,-10,31,1902,ND,-44,-370,95,6188,ND,-342,120,328,7386
8/31/2011,Mexico,31704,ND,1066,319,598,33981,ND,-145,-53,-516,9530,ND,694,-1430,-1197,21596,ND,-658,511,117,29543
8/31/2011,Panama,31887,ND,-12,16,0,1540,ND,178,-17,-62,3590,ND,219,-426,-132,6910,ND,-62,10,67,668
8/31/2011,Peru,32204,ND,53,22,-14,2221,ND,-1,-8,77,1793,ND,76,-153,129,2835,ND,-136,138,-58,7855
8/31/2011,TrinidadTobago,32409,ND,-29,8,25,806,ND,-9,-6,14,1256,ND,7,-71,-24,1113,ND,11,80,-48,4629
8/31/2011,Uruguay,32603,ND,7,3,-30,287,ND,0,-5,-122,728,ND,3,-104,-72,1550,ND,616,82,32,5472
8/31/2011,Venezuela,32719,ND,1,4,4,411,ND,17,-9,-123,1561,ND,102,-124,-94,1932,ND,-12,47,-54,2640
8/31/2011,CaribTotal,34401,ND,1700,929,-4392,85469,ND,2535,-2328,-3353,465885,ND,462,-31821,7662,535624,ND,24674,1849,-7905,118881
