"Hoofdpost","Subpost 1","Subpost 2","Sector","Subsector","&label7","Period ","waarde"
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2014Q1",-596771
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2014Q2",-586728
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2014Q3",-572425
"Net portfolio investment ","Net debt securities ","Net long term debt securities ","Total ","Total ","Total ","2014Q4",-582442
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2003Q2",703717.2
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2003Q3",714641.3
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2003Q4",691930.5
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2004Q1",736090.5
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2004Q2",751346.6
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2004Q3",775907.5
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2004Q4",810092.1
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2005Q1",854282.3
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2005Q2",903081.4
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2005Q3",940450.5
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2005Q4",984516.6
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2006Q1",969312.6
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2006Q2",948478.7
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2006Q3",981011.4
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2006Q4",1012094
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2007Q1",1030338
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2007Q2",1042577
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2007Q3",1041572
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2007Q4",1064735
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2008Q1",985021
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2008Q2",990715.3
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2008Q3",979400.1
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2008Q4",885274.4
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2009Q1",910031.7
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2009Q2",954623.1
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2009Q3",1015734
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2009Q4",1044767
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2010Q1",1093141
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2010Q2",1077216
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2010Q3",1099308
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2010Q4",1116706
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2011Q1",1112709
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2011Q2",1108182
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2011Q3",1088648
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2011Q4",1112406
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2012Q1",1168004
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2012Q2",1181400
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2012Q3",1214242
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2012Q4",1265181
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2013Q1",1309193
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2013Q2",1273939
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2013Q3",1290440
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2013Q4",1302388
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2014Q1",1344236
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2014Q2",1408033
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2014Q3",1467111
"Dutch portfolio investment in foreign securities ","Total ","Total ","Total ","Total ","Total ","2014Q4",1527364
"Dutch portfolio investment in foreign securities ","Foreign equity and shares in foreign investment funds ","Total ","Total ","Total ","Total ","2003Q2",344783.5
"Dutch portfolio investment in foreign securities ","Foreign equity and shares in foreign investment funds ","Total ","Total ","Total ","Total ","2003Q3",353434.5
